text,label
"Loci vsak dogodek posebej.",1
"Niso povezani med sabo.",1
"Vsaka nosecnost je dogodek za sebe, prejsnja ne vpliva na naslednjo.",1
"Vsak otrok, ki ga rodis je za sebe zgodba.",1
"saj vem, saj vem, draga lulu ampak preprosto ne morem, da ne bi. v tej smeri je se toliko pesimizma v meni, da enostavno moji krempeljcki niso dovolj dogli.",1
"zelim pa si, da nama bo dano imeti otroka.",1
"cas se vedno tece....sonce vzhaja..",1
"zahaja...",1
"pticki pojejo...",1
"jesenski listki se vrtijo v vetru ...",1
"pa vendar je tako...",1
"Tippi...",1
"Sem pa ravno vceraj bolj konkretno razmisljala o novi nosecnosti user posted image Ne vem.... prevec strahu je se v meni. Ne govorim o mesecih, ki so itak priporoceni",1
"Ja, taksne tragedije se ti zasidrajo globoko v srce.",1
"Ne samo zaradi tragedije same, ampak tudi strah za prihodnost.",1
"za novo nosecnost.",1
"bomo videli...",1
