text,label
"Niste prijavljeni. Čeprav lahko Wikipedijo urejate tudi brez prijave, se bo v zgodovino urejanja strani zapisal vaš IP-naslov (viden na vaši pogovorni strani, kjer si lahko pogledate tudi sporočila, ki so mu bila poslana).",1
"Registracija ga skrije in vam prinese še marsikatero drugo korist.",1
"Ne shranjujte testnih urejanj.",1
"Če želite eksperimentirati, uporabite Peskovnik.",1
"Posebni znaki:     * † # @ % ‰ € $ & ® © ™ ~ ≈ ≠ ≤ ≥ ± + − - × ÷ » « »« · • ⦁ ° – — ¿ ¡ § ± × ∆ º …   ↔ ← → ↑ ↓ º ¹ ² ³ ⁴ ⁵ ⁶ ⁷ ⁸ ⁹ ½ ⅓ ⅔ ¼ ¾ ⅛ ⅜ ⅝ ⅞ ∞ &nbsp;Citiranje spletnih strani, knjig, revijCitiranje iste spletne strani, knjige, revijeStran je vključena v 4 skrite kategorije:Niste prijavljeni. Čeprav lahko Wikipedijo urejate tudi brez prijave, se bo v zgodovino urejanja strani zapisal vaš IP-naslov (viden na vaši pogovorni strani, kjer si lahko pogledate tudi sporočila, ki so mu bila poslana).",1
"racija ga skrije in vam prinese še marsikatero drugo korist.",1
"prijavljeni. Čeprav lahko Wikipedijo urejate tudi brez prijave, se bo v zgodovino urejanja strani zapisal vaš IP-naslov (viden na vaši pogovorni strani, kjer si lahko pogledate tudi sporočila, ki so mu bila poslana).",1
"Vnesite ime strani, da si ogledate spremembe strani, povezanih na to stran ali z nje.",1
"(Da si ogledate člane kategorije, vnesite Kategorija:Ime kategorije.) Strani na vašem nadzornem seznamu so zapisane krepko.",1
"Samostálniška beséda je ena od besednih vrst, ki poimenuje bitja, predmete ali pojme ter ji je lasten spol (ženski, moški ali srednji), število (ednina, dvojina ali množina), sklon in sklanjatev.",1
"V stavčnih členih lahko primarno nastopajo samostalniške besede v osebku, predmetu, lahko pa tvorijo tudi povedkovo določilo ali prislovno določilo.",1
"K samostalniškim besedam štejemo:Samostalnik neposredno poimenuje bitja (žena), reči (nož) ali pojme (sreča).",1
"iste vrste stvarnosti (npr.",1
"učiteljica) – tedaj govorimo o občnih imenih – ali pa označi posameznika (npr.",1
"Mitja, Ljubljana) – govorimo o lastnih imenih.",1
"V slovenščini so samostalniki ženskega, srednjega ali moškega spola.",1
"Večinoma samostalnikov z ničto končnico (-ø) v imenovalniku ednine je moškega spola (korak-ø, korak-a), s končnico -a v imenovalniku ednine ženskega spola (miz-a, miz-e), s končnico -o/-e v imenovalniku ednine srednjega spola (sonc-e, sonc-a).",1
"Obstajajo tudi izjeme, npr.",1
"imen.",1
"ed.",1
"za ženski spol (breskev-ø, breskv-e), samostalniki moškega spola s končnico -a (vojvod-a, vojvod-e) ali -o/-e (avt-o, avt-a; final-e, final-a).",1
"Poleg spola, lahko samostalniški besedi določimo tudi podspola: živost in človeškost.",1
"Slovenščina pozna tri slovnična števila: ednina, dvojina, množina.",1
"Število izražamo s končnico (en korak-ø, dva korak-a, trije korak-i; ena miz-a, dve miz-i, tri miz-e; eno sonc-e, dve sonc-i, tri sonc-a).",1
"abljamo zgolj v ednini ali množini. Edninski samostalniki so npr.",1
"kri, sadje, upanje, prihodnost itd.",1
", množinski pa možgani, ošpice, sani, jetra ...",1
"Včasih namesto dvojine uporabljamo množino, npr.",1
"pri parnih delih telesa (roke, noge, oči), oblačilih (rokavice, nogavice), obuvalih (drsalke, kotalke) in bioloških parih (starši).",1
"Samostalnike sklanjamo po ustaljenih sklanjatvenih vzorcih, ki vsebujejo šest sklonov.",1
"(ali posamostaljeni) zaimek.",1
"Samostalniški zaimek poimenuje neko enoto stvarnosti na posreden način, kar pomeni, da namesto samostalnika uporabimo samostalniške zaimke, ker se tako izognemo dobesednemu ponavljanju besed.",1
"Tak način poimenovanje imenujemo pozaimljanje.",1
"Tako kot samostalnikom lahko tudi samostalniškim zaimkom določimo spol, število in sklon.",1
"mo določiti: nekaj, kar, kdo).",1
"Naslonsko obliko poznajo samo nekateri skloni v ednini (rodilnik, dajalnik, tožilnik).",1
"V dvojini in množini so naslonske oblike le pri nekaterih sklonskih oblikah za 3. osebo, sicer pa imajo vsi trije spoli od rodilnika dalje enake oblike.",1
"Povratni osebni zaimek nima imenovalniške oblike.",1
"Raba se nanaša na osebek.",1
"Uporablja se takrat, kadar sta osebek in predmet/prislovno določilo ista stvar ali predmet.",1
